model_id,rmse,mse,mae,rmsle,mean_residual_deviance
StackedEnsemble_AllModels_3_AutoML_1_20260725_95621,150.16693970847896,22550.109781409952,117.3124420661496,0.1578064715235989,22550.109781409952
StackedEnsemble_AllModels_2_AutoML_1_20260725_95621,150.23493346595146,22570.53523351886,117.38587143790434,0.1578994059063801,22570.53523351886
StackedEnsemble_BestOfFamily_4_AutoML_1_20260725_95621,150.24702579138813,22574.16875915805,117.40114112176452,0.1579047513843395,22574.16875915805
StackedEnsemble_BestOfFamily_3_AutoML_1_20260725_95621,150.26444848940974,22579.404479826477,117.4345598547886,0.1579588620368798,22579.404479826477
GBM_5_AutoML_1_20260725_95621,150.32887215466496,22598.7698032936,117.48261145982757,0.1580634710142891,22598.7698032936
GBM_grid_1_AutoML_1_20260725_95621_model_19,150.36000302619894,22608.13051003855,117.5399243588716,0.1580592475757877,22608.13051003855
StackedEnsemble_AllModels_1_AutoML_1_20260725_95621,150.4050614968824,22621.68252388098,117.50823729494694,0.1579701992773987,22621.68252388098
StackedEnsemble_BestOfFamily_2_AutoML_1_20260725_95621,150.428965540883,22628.87367370017,117.55376949755416,0.1580091142208043,22628.87367370017
GBM_grid_1_AutoML_1_20260725_95621_model_22,150.44945578164445,22635.038744992984,117.52446505048016,0.1581794325499512,22635.038744992984
GBM_grid_1_AutoML_1_20260725_95621_model_12,150.46100797333648,22638.51492035242,117.60003938547176,0.1581435893472989,22638.51492035242
GBM_2_AutoML_1_20260725_95621,150.46805864570229,22640.6366726065,117.59721418124866,0.158130796098113,22640.6366726065
GBM_grid_1_AutoML_1_20260725_95621_model_1,150.47707291995286,22643.349474556813,117.6125760624942,0.1582599407190601,22643.349474556813
GBM_grid_1_AutoML_1_20260725_95621_model_14,150.49413403006034,22648.484377457764,117.59713453664088,0.1581261586210694,22648.484377457764
GBM_grid_1_AutoML_1_20260725_95621_model_15,150.4987138632636,22649.862874496484,117.6470814261459,0.1581332484836774,22649.862874496484
GBM_grid_1_AutoML_1_20260725_95621_model_29,150.7366406028368,22721.534820228797,118.05524093582127,0.1586092848219355,22721.534820228797
GBM_grid_1_AutoML_1_20260725_95621_model_33,150.8197373305028,22746.593168441857,117.78007871119574,0.1584812355347078,22746.593168441857
GBM_grid_1_AutoML_1_20260725_95621_model_46,150.82445297894762,22748.015616398785,118.09585597718365,0.1586640983412536,22748.015616398785
