model_id,rmse,mse,mae,rmsle,mean_residual_deviance,training_time_ms,predict_time_per_row_ms
StackedEnsemble_AllModels_3_AutoML_1_20260726_171952,150.1749502062319,22552.51566944423,117.3244821843968,0.1578246088159764,22552.51566944423,742,0.050776
StackedEnsemble_AllModels_2_AutoML_1_20260726_171952,150.19736533666915,22559.248554076865,117.35452252945842,0.1578576464559946,22559.248554076865,1293,0.041231
StackedEnsemble_BestOfFamily_3_AutoML_1_20260726_171952,150.2174389473757,22565.27896390855,117.38830750503186,0.1579014047475077,22565.27896390855,625,0.017952
GBM_5_AutoML_1_20260726_171952,150.32887215466496,22598.7698032936,117.48261145982757,0.1580634710142891,22598.7698032936,830,0.021175
GBM_grid_1_AutoML_1_20260726_171952_model_19,150.36000302619894,22608.13051003855,117.5399243588716,0.1580592475757877,22608.13051003855,408,0.031397
StackedEnsemble_AllModels_1_AutoML_1_20260726_171952,150.4050614968824,22621.68252388098,117.50823729494694,0.1579701992773987,22621.68252388098,1306,0.027222
StackedEnsemble_BestOfFamily_2_AutoML_1_20260726_171952,150.428965540883,22628.87367370017,117.55376949755416,0.1580091142208043,22628.87367370017,732,0.019603
GBM_grid_1_AutoML_1_20260726_171952_model_22,150.44945578164445,22635.038744992984,117.52446505048016,0.1581794325499512,22635.038744992984,406,0.034265
GBM_grid_1_AutoML_1_20260726_171952_model_12,150.46100797333648,22638.51492035242,117.60003938547176,0.1581435893472989,22638.51492035242,340,0.027873
GBM_2_AutoML_1_20260726_171952,150.46805864570229,22640.6366726065,117.59721418124866,0.158130796098113,22640.6366726065,490,0.030622
GBM_grid_1_AutoML_1_20260726_171952_model_1,150.47707291995286,22643.349474556813,117.6125760624942,0.1582599407190601,22643.349474556813,413,0.031202
GBM_grid_1_AutoML_1_20260726_171952_model_14,150.49413403006034,22648.484377457764,117.59713453664088,0.1581261586210694,22648.484377457764,380,0.034309
GBM_grid_1_AutoML_1_20260726_171952_model_15,150.4987138632636,22649.862874496484,117.6470814261459,0.1581332484836774,22649.862874496484,377,0.047823
GBM_grid_1_AutoML_1_20260726_171952_model_29,150.7366406028368,22721.534820228797,118.05524093582127,0.1586092848219355,22721.534820228797,533,0.039718
GBM_grid_1_AutoML_1_20260726_171952_model_28,150.9101692738025,22773.87919024772,117.92438759714982,0.1587067274280252,22773.87919024772,301,0.023932
GBM_3_AutoML_1_20260726_171952,150.9916810440671,22798.48774451329,118.08745938576152,0.1588012382109938,22798.48774451329,550,0.018986
StackedEnsemble_BestOfFamily_1_AutoML_1_20260726_171952,151.01213944763552,22804.66626055212,117.95796577453456,0.1585889385888187,22804.66626055212,662,0.031361
GBM_grid_1_AutoML_1_20260726_171952_model_6,151.05302703001976,22817.016974931885,118.0283485320202,0.1587355727074741,22817.016974931885,1073,0.062414
GBM_1_AutoML_1_20260726_171952,151.08783249669085,22827.533128548115,118.0453027043314,0.1587458231029937,22827.533128548115,2631,0.050073
GBM_grid_1_AutoML_1_20260726_171952_model_13,151.19728624802642,22860.619368767635,118.09391339656796,0.1588874184177223,22860.619368767635,509,0.046991
GBM_grid_1_AutoML_1_20260726_171952_model_26,151.33657653440147,22902.759397152757,118.33846421984812,0.1591232198515867,22902.759397152757,421,0.018664
GBM_grid_1_AutoML_1_20260726_171952_model_18,151.3881127654069,22918.36068667156,118.40023639806816,0.1592373464729056,22918.36068667156,518,0.022305
GBM_grid_1_AutoML_1_20260726_171952_model_5,151.64692386546128,22996.78951785701,118.66519820129926,0.1597125582531968,22996.78951785701,664,0.013585
GBM_grid_1_AutoML_1_20260726_171952_model_27,151.78278310045798,23038.01324572067,118.61441648678364,0.1593082081408394,23038.01324572067,521,0.02024
GBM_grid_1_AutoML_1_20260726_171952_model_21,151.93694660246376,23084.835742879925,118.96005892636984,0.1599449805922367,23084.835742879925,591,0.026858
GBM_grid_1_AutoML_1_20260726_171952_model_16,151.98184115156278,23098.480039818856,118.93038935163244,0.1599500551741768,23098.480039818856,739,0.032406
GBM_grid_1_AutoML_1_20260726_171952_model_23,152.109044244844,23137.161341079907,118.88042916813548,0.1597757217334942,23137.161341079907,522,0.029766
GBM_grid_1_AutoML_1_20260726_171952_model_7,152.12572084232414,23142.23494179673,119.11031941944944,0.160137854689543,23142.23494179673,1403,0.031122
GBM_4_AutoML_1_20260726_171952,152.42982687028788,23234.85211970593,119.2510331032276,0.1603156465133228,23234.85211970593,667,0.016453
GBM_grid_1_AutoML_1_20260726_171952_model_10,152.6627236970343,23305.90720659704,119.35087761574054,0.1602080251896818,23305.90720659704,1830,0.02223
GBM_grid_1_AutoML_1_20260726_171952_model_30,152.8596170571638,23366.062526862766,119.49203164344767,0.1607479793941176,23366.062526862766,618,0.026434
GBM_grid_1_AutoML_1_20260726_171952_model_17,152.97315921954808,23400.78744160921,119.76871080705212,0.1610067805262679,23400.78744160921,549,0.028336
GBM_grid_1_AutoML_1_20260726_171952_model_2,153.25915911835136,23488.36985366414,119.7735006484316,0.1610017096405399,23488.36985366414,1551,0.017061
GBM_grid_1_AutoML_1_20260726_171952_model_20,153.59045817752315,23590.028843181484,120.61413598124996,0.1616091193335508,23590.028843181484,342,0.022749
GBM_grid_1_AutoML_1_20260726_171952_model_8,153.96222873627016,23704.36787743957,120.5966913110488,0.1622653918064066,23704.36787743957,1612,0.016637
GBM_grid_1_AutoML_1_20260726_171952_model_25,154.15529422544412,23763.85473773325,120.66005250369398,0.1622828601621948,23763.85473773325,458,0.017261
GBM_grid_1_AutoML_1_20260726_171952_model_4,154.4231057200772,23846.49558023413,120.97878036176928,0.1624169396238859,23846.49558023413,2425,0.026365
GBM_grid_1_AutoML_1_20260726_171952_model_9,154.73456236397664,23942.78478997137,121.10962124033628,0.1626072500742019,23942.78478997137,2541,0.025726
GBM_grid_1_AutoML_1_20260726_171952_model_11,154.84490077021124,23976.94329453656,121.17378199290486,0.1627332911527481,23976.94329453656,765,0.02501
GBM_grid_1_AutoML_1_20260726_171952_model_3,157.955034005912,24949.79276780882,123.58825626919057,0.1665955022410246,24949.79276780882,925,0.03411
GLM_1_AutoML_1_20260726_171952,158.19605702896564,25025.99245951175,124.11047445252872,0.1663444943331636,25025.99245951175,174,0.000454
DeepLearning_1_AutoML_1_20260726_171952,160.6484482318975,25807.923919316658,126.32896131907356,0.1718342233200663,25807.923919316658,1531,0.00266
DRF_1_AutoML_1_20260726_171952,161.93588338293222,26223.230327010624,126.41339115972832,0.1688867657553874,26223.230327010624,3427,0.040657
GBM_grid_1_AutoML_1_20260726_171952_model_24,164.34773241656157,27010.177150465726,128.47304426683863,0.1717258474392939,27010.177150465726,1022,0.019668
DeepLearning_grid_1_AutoML_1_20260726_171952_model_2,167.16622896199252,27944.548105373306,131.51881505038196,0.1784029540203121,27944.548105373306,2146,0.00335
