model_id,rmse,mse,mae,rmsle,mean_residual_deviance,training_time_ms,predict_time_per_row_ms
StackedEnsemble_AllModels_3_AutoML_2_20260726_172537,171.08156717042138,29268.902625487404,135.1256215597481,0.1793882643639222,29268.902625487404,594,0.022548
StackedEnsemble_BestOfFamily_4_AutoML_2_20260726_172537,171.12032095375616,29282.16424331652,135.16747495401933,0.1794508104899315,29282.16424331652,206,0.019386
GBM_grid_1_AutoML_2_20260726_172537_model_12,171.17325602305982,29300.28357753598,135.21798476229827,0.179588489649863,29300.28357753598,510,0.010505
GBM_grid_1_AutoML_2_20260726_172537_model_29,171.1802532514341,29302.67910322512,135.2264232593346,0.1796117023636889,29302.67910322512,284,0.015501
GBM_grid_1_AutoML_2_20260726_172537_model_1,171.18181410403895,29303.213479949743,135.24130750339685,0.1795927792984839,29303.213479949743,211,0.023178
GBM_grid_1_AutoML_2_20260726_172537_model_14,171.2755633245885,29335.31859215512,135.28853205049558,0.179746421235891,29335.31859215512,419,0.023733
GBM_grid_1_AutoML_2_20260726_172537_model_22,171.37897226290548,29370.752133889728,135.43751460242055,0.1799242930863144,29370.752133889728,319,0.025859
StackedEnsemble_BestOfFamily_3_AutoML_2_20260726_172537,171.4688092998041,29401.55256269258,135.53034701267362,0.1800234271321432,29401.55256269258,222,0.023943
StackedEnsemble_AllModels_2_AutoML_2_20260726_172537,171.4751964077698,29403.74298308323,135.531785220036,0.1800182490995565,29403.74298308323,419,0.029667
GBM_grid_1_AutoML_2_20260726_172537_model_15,171.4871843445138,29407.854394409256,135.55381166790625,0.1800425367086023,29407.854394409256,507,0.04415
GBM_5_AutoML_2_20260726_172537,171.49541586884882,29410.6776640294,135.56147079432336,0.1801167900813469,29410.6776640294,302,0.029368
StackedEnsemble_AllModels_1_AutoML_2_20260726_172537,171.5862907252015,29441.85516483337,135.61471203459283,0.1800236323276339,29441.85516483337,264,0.027661
GBM_grid_1_AutoML_2_20260726_172537_model_28,171.58711384407633,29442.137637340013,135.59971708614196,0.1801267452420163,29442.137637340013,428,0.02931
GBM_2_AutoML_2_20260726_172537,171.58912430160913,29442.82757859307,135.6223883577778,0.1800752036781366,29442.82757859307,510,0.031464
GBM_grid_1_AutoML_2_20260726_172537_model_13,171.59038006298897,29443.258530161,135.68896036581015,0.1800845996316213,29443.258530161,594,0.04213
StackedEnsemble_BestOfFamily_2_AutoML_2_20260726_172537,171.6033429494519,29447.7073114272,135.62802888577437,0.180057871329561,29447.7073114272,362,0.028495
GBM_grid_1_AutoML_2_20260726_172537_model_6,171.69432175693336,29478.94012357336,135.7373830370027,0.180220591514485,29478.94012357336,533,0.033882
GBM_grid_1_AutoML_2_20260726_172537_model_19,171.79872443515532,29514.80171754644,135.84633840509514,0.1803339412897768,29514.80171754644,311,0.02534
GBM_3_AutoML_2_20260726_172537,171.8593339737256,29535.63067389256,135.8846366011932,0.1804053815552304,29535.63067389256,383,0.036336
GBM_1_AutoML_2_20260726_172537,171.90704328167152,29552.03152984649,135.96122927310714,0.1804459298238145,29552.03152984649,438,0.039079
StackedEnsemble_BestOfFamily_1_AutoML_2_20260726_172537,171.90799904607678,29552.36013602593,135.9513743170678,0.1804039988868395,29552.36013602593,301,0.03551
GBM_grid_1_AutoML_2_20260726_172537_model_26,171.96288182152304,29571.232724363097,135.97958217040627,0.1805268065410191,29571.232724363097,528,0.036083
GBM_grid_1_AutoML_2_20260726_172537_model_30,172.0437012157446,29599.0351280124,136.05228110931574,0.1806408962346953,29599.0351280124,606,0.020591
GBM_grid_1_AutoML_2_20260726_172537_model_27,172.08176582659553,29612.134129999264,135.932906114052,0.1804205408718325,29612.134129999264,642,0.021611
GBM_grid_1_AutoML_2_20260726_172537_model_23,172.20534452463158,29654.68068284706,136.109270794999,0.180751651572237,29654.68068284706,468,0.023995
GBM_grid_1_AutoML_2_20260726_172537_model_5,172.21430712831935,29657.767579687108,136.15630868005303,0.1809178900748397,29657.767579687108,240,0.023857
GBM_grid_1_AutoML_2_20260726_172537_model_10,172.2620215654879,29674.20407382862,136.09787546223998,0.1807472218995383,29674.20407382862,391,0.029208
GBM_grid_1_AutoML_2_20260726_172537_model_9,172.57184015473155,29781.04001439022,136.4920623755645,0.181078116983541,29781.04001439022,1126,0.025644
GBM_4_AutoML_2_20260726_172537,172.59720168648624,29789.794030005607,136.43105980562038,0.1812561984344283,29789.794030005607,390,0.020253
GBM_grid_1_AutoML_2_20260726_172537_model_8,172.62686370047828,29800.034071063503,136.4080732765996,0.181328846603561,29800.034071063503,530,0.012748
GBM_grid_1_AutoML_2_20260726_172537_model_4,172.6920396749432,29822.54056709216,136.5241554989887,0.1812540871806915,29822.54056709216,423,0.016845
GBM_grid_1_AutoML_2_20260726_172537_model_2,172.94401184693336,29909.631233712225,136.65243453271768,0.1814237385278413,29909.631233712225,318,0.01554
GBM_grid_1_AutoML_2_20260726_172537_model_11,173.37985480259553,30060.574051369116,137.0708459872189,0.1820979421677978,30060.574051369116,646,0.016162
GBM_grid_1_AutoML_2_20260726_172537_model_25,173.48072981263832,30095.563616325617,137.16427599461565,0.1821566918479646,30095.563616325617,549,0.020201
GBM_grid_1_AutoML_2_20260726_172537_model_24,175.13585678352575,30672.56833129964,138.32886042345908,0.1839627544867525,30672.56833129964,766,0.014998
DRF_1_AutoML_2_20260726_172537,176.79631498643354,31256.93699278223,139.38403819098727,0.1857769089305951,31256.93699278223,529,0.017407
GBM_grid_1_AutoML_2_20260726_172537_model_20,177.57797898541682,31533.938620545137,140.58689628478103,0.1878658028906738,31533.938620545137,313,0.017783
GBM_grid_1_AutoML_2_20260726_172537_model_7,177.60226451181282,31542.56435972393,140.79152811582364,0.1876526636259229,31542.56435972393,1273,0.027278
GBM_grid_1_AutoML_2_20260726_172537_model_16,177.8261878160432,31622.153073186662,141.02746408560256,0.1876807397854157,31622.153073186662,940,0.020366
GBM_grid_1_AutoML_2_20260726_172537_model_21,177.88697727222154,31643.776683047865,140.94155318332753,0.1879450698590152,31643.776683047865,431,0.018636
GBM_grid_1_AutoML_2_20260726_172537_model_17,178.04839378491926,31701.23052938967,140.94122066078288,0.1882683438399242,31701.23052938967,1135,0.0259
GBM_grid_1_AutoML_2_20260726_172537_model_18,178.30166643095836,31791.484252056744,141.47162483665602,0.1879675223817212,31791.484252056744,394,0.01819
GBM_grid_1_AutoML_2_20260726_172537_model_3,178.3649461027164,31814.05399822493,141.31775137639056,0.1884189696992125,31814.05399822493,788,0.054054
GLM_1_AutoML_2_20260726_172537,178.54440293423042,31878.10381914083,141.20422760339906,0.1873542452662934,31878.10381914083,39,0.000362
DeepLearning_grid_1_AutoML_2_20260726_172537_model_1,182.6988586621366,33378.87295644736,144.76459905962412,0.1959858016420908,33378.87295644736,23702,0.001891
DeepLearning_1_AutoML_2_20260726_172537,188.8798430572907,35675.595113346775,149.99196471892884,0.2016678961506144,35675.595113346775,639,0.002788
DeepLearning_grid_1_AutoML_2_20260726_172537_model_6,189.99521951005076,36098.18343667236,151.26991841957008,0.2024272432364334,36098.18343667236,86,0.001693
XRT_1_AutoML_2_20260726_172537,190.54108931713057,36305.90671815872,152.71204580960477,0.2071632290661145,36305.90671815872,484,0.01338
DeepLearning_grid_1_AutoML_2_20260726_172537_model_2,194.9622580728748,38010.28207287422,154.92683626522552,0.2067213785574895,38010.28207287422,9506,0.008251
DeepLearning_grid_3_AutoML_2_20260726_172537_model_1,202.0646769232665,40830.13366010408,159.1775634749745,0.2119827738745305,40830.13366010408,2152,0.007878
DeepLearning_grid_2_AutoML_2_20260726_172537_model_2,206.8791708135274,42798.99131649265,163.39651795873047,0.2174526365049849,42798.99131649265,2812,0.023187
DeepLearning_grid_1_AutoML_2_20260726_172537_model_5,208.51028918713888,43476.54069690428,166.32183959017044,0.2236452752464625,43476.54069690428,415,0.004499
DeepLearning_grid_2_AutoML_2_20260726_172537_model_1,210.1164469766568,44148.92129009421,167.33170269402356,0.2198120635821599,44148.92129009421,3607,0.003734
DeepLearning_grid_1_AutoML_2_20260726_172537_model_3,212.29392211439065,45068.709366710966,168.8952387984573,0.2278756682152958,45068.709366710966,1205,0.004123
DeepLearning_grid_1_AutoML_2_20260726_172537_model_4,235.72752313409052,55567.46516293319,188.8936747747467,0.2624210752231145,55567.46516293319,401,0.004366
