,Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
lightgbm,Light Gradient Boosting Machine,117.9753,22908.9538,151.3458,0.6937,0.1594,0.1264,0.248
gbr,Gradient Boosting Regressor,118.7721,23007.7013,151.677,0.6924,0.1601,0.1275,0.21
xgboost,Extreme Gradient Boosting,121.2807,24228.5395,155.6441,0.676,0.164,0.1299,0.046
ridge,Ridge Regression,123.9999,25022.091,158.1777,0.6655,0.1669,0.133,0.706
lar,Least Angle Regression,124.0006,25022.0883,158.1777,0.6655,0.1669,0.133,0.876
br,Bayesian Ridge,123.9999,25022.1008,158.1777,0.6655,0.1669,0.133,0.016
lr,Linear Regression,124.0006,25022.0875,158.1777,0.6655,0.1669,0.133,1.0
lasso,Lasso Regression,124.0217,25034.4973,158.2173,0.6653,0.1669,0.1331,0.772
llar,Lasso Least Angle Regression,124.022,25034.5469,158.2174,0.6653,0.1669,0.1331,0.02
huber,Huber Regressor,123.9262,25054.581,158.281,0.6651,0.1671,0.1329,0.11
rf,Random Forest Regressor,131.429,28326.8035,168.2982,0.6213,0.1757,0.14,0.39
ada,AdaBoost Regressor,133.6933,28451.7192,168.663,0.6197,0.1772,0.1432,0.11
et,Extra Trees Regressor,139.5271,32204.6843,179.4512,0.5694,0.187,0.148,0.362
en,Elastic Net,144.4182,33599.4242,183.297,0.551,0.1969,0.1593,0.894
knn,K Neighbors Regressor,143.6033,34156.2109,184.8119,0.5434,0.1982,0.1586,0.048
par,Passive Aggressive Regressor,153.7323,38461.5451,191.5692,0.4904,0.1998,0.1562,0.032
omp,Orthogonal Matching Pursuit,166.3028,44267.8883,210.3897,0.4084,0.2252,0.185,0.014
dt,Decision Tree Regressor,166.3755,45501.8624,213.3033,0.3916,0.2248,0.176,0.016
dummy,Dummy Regressor,227.5976,74844.8016,273.5654,-0.0001,0.2991,0.2655,0.014
