,Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
gbr,Gradient Boosting Regressor,143.5157,33788.3305,183.8124,0.5484,0.1993,0.1597,0.16
lightgbm,Light Gradient Boosting Machine,143.2361,33890.8396,184.0931,0.547,0.1992,0.1591,0.336
xgboost,Extreme Gradient Boosting,145.9987,35257.3906,187.7671,0.5287,0.2029,0.1619,0.036
ada,AdaBoost Regressor,155.5507,38278.6882,195.6423,0.4884,0.21,0.1706,0.09
knn,K Neighbors Regressor,155.8787,40040.0547,200.0986,0.4648,0.2147,0.1728,0.024
en,Elastic Net,158.9144,40593.1625,201.4729,0.4575,0.2168,0.1769,0.008
br,Bayesian Ridge,158.9468,40590.8141,201.4673,0.4575,0.2167,0.1769,0.016
llar,Lasso Least Angle Regression,158.9437,40590.9344,201.4676,0.4575,0.2167,0.1769,0.01
lar,Least Angle Regression,158.9502,40590.7922,201.4673,0.4575,0.2167,0.1769,0.01
ridge,Ridge Regression,158.9502,40590.7914,201.4673,0.4575,0.2167,0.1769,0.01
lasso,Lasso Regression,158.9435,40590.9312,201.4676,0.4575,0.2167,0.1769,0.01
lr,Linear Regression,158.9502,40590.7914,201.4673,0.4575,0.2167,0.1769,0.01
huber,Huber Regressor,158.3226,40882.8281,202.1906,0.4536,0.2171,0.1763,0.028
rf,Random Forest Regressor,160.0724,42285.2378,205.6321,0.4347,0.22,0.1762,0.322
omp,Orthogonal Matching Pursuit,166.3028,44267.8891,210.3897,0.4084,0.2252,0.185,0.008
et,Extra Trees Regressor,169.2181,47779.2751,218.5805,0.3612,0.234,0.1856,0.284
dt,Decision Tree Regressor,187.7711,58987.4769,242.8717,0.2115,0.2632,0.2054,0.014
par,Passive Aggressive Regressor,212.0497,69732.2494,263.102,0.0699,0.2726,0.2247,0.012
dummy,Dummy Regressor,227.5976,74844.8016,273.5654,-0.0001,0.2991,0.2655,0.012
